,zip,AQI,Category,DateObserved,Latitude,Longitude,ParameterName,ReportingArea,StateCode
33,94533,44,Good,2017-10-09 ,38.25,-122.04,OZONE,Fairfield,CA
34,94533,97,Moderate,2017-10-09 ,38.25,-122.04,PM2.5,Fairfield,CA
35,94303,35,Good,2017-10-10 ,37.48,-122.22,OZONE,Redwood City,CA
36,94020,31,Good,2017-10-11 ,37.48,-122.22,OZONE,Redwood City,CA
37,94020,126,Unhealthy for Sensitive Groups,2017-10-11 ,37.48,-122.22,PM2.5,Redwood City,CA
38,95136,67,Moderate,2017-10-12 ,37.33,-121.9,OZONE,San Jose,CA
39,95136,99,Moderate,2017-10-12 ,37.33,-121.9,PM2.5,San Jose,CA
40,95158,61,Moderate,2017-10-13 ,37.33,-121.9,OZONE,San Jose,CA
41,95158,136,Unhealthy for Sensitive Groups,2017-10-13 ,37.33,-121.9,PM2.5,San Jose,CA
42,94089,43,Good,2017-10-14 ,37.33,-121.9,OZONE,San Jose,CA
43,94089,84,Moderate,2017-10-14 ,37.33,-121.9,PM2.5,San Jose,CA
44,94582,74,Moderate,2017-10-15 ,37.68,-121.77,OZONE,Livermore,CA
45,94582,40,Good,2017-10-15 ,37.68,-121.77,PM2.5,Livermore,CA
46,94561,64,Moderate,2017-10-15 ,38.25,-122.04,OZONE,Fairfield,CA
47,94561,44,Good,2017-10-15 ,38.25,-122.04,PM2.5,Fairfield,CA
48,95023,43,Good,2017-10-09 ,36.8442,-121.361,OZONE,Hollister,CA
49,95023,27,Good,2017-10-09 ,36.8442,-121.361,PM2.5,Hollister,CA
50,95023,59,Moderate,2017-10-09 ,36.8442,-121.361,PM10,Hollister,CA
51,94111,28,Good,2017-10-10 ,37.75,-122.43,OZONE,San Francisco,CA
52,94111,127,Unhealthy for Sensitive Groups,2017-10-10 ,37.75,-122.43,PM2.5,San Francisco,CA
53,95173,54,Moderate,2017-10-11 ,37.33,-121.9,OZONE,San Jose,CA
54,95173,114,Unhealthy for Sensitive Groups,2017-10-11 ,37.33,-121.9,PM2.5,San Jose,CA
55,95120,67,Moderate,2017-10-12 ,37.33,-121.9,OZONE,San Jose,CA
56,95120,99,Moderate,2017-10-12 ,37.33,-121.9,PM2.5,San Jose,CA
57,94620,45,Good,2017-10-13 ,37.8,-122.27,OZONE,Oakland,CA
58,94620,159,Unhealthy,2017-10-13 ,37.8,-122.27,PM2.5,Oakland,CA
59,95616,34,Good,2017-10-14 ,38.5448,-121.7411,OZONE,Davis,CA
60,95616,29,Good,2017-10-14 ,38.5448,-121.7411,PM2.5,Davis,CA
61,94549,54,Moderate,2017-10-15 ,37.97,-122.03,OZONE,Concord,CA
62,94549,55,Moderate,2017-10-15 ,37.97,-122.03,PM2.5,Concord,CA
63,94931,49,Good,2017-10-15 ,38.45,-122.7,OZONE,Santa Rosa,CA
64,94931,67,Moderate,2017-10-15 ,38.45,-122.7,PM2.5,Santa Rosa,CA
65,95127,54,Moderate,2017-10-09 ,37.33,-121.9,OZONE,San Jose,CA
66,95127,47,Good,2017-10-09 ,37.33,-121.9,PM2.5,San Jose,CA
67,94701,31,Good,2017-10-11 ,37.8,-122.27,OZONE,Oakland,CA
68,94701,124,Unhealthy for Sensitive Groups,2017-10-11 ,37.8,-122.27,PM2.5,Oakland,CA
69,94110,27,Good,2017-10-12 ,37.75,-122.43,OZONE,San Francisco,CA
70,94110,136,Unhealthy for Sensitive Groups,2017-10-12 ,37.75,-122.43,PM2.5,San Francisco,CA
71,94579,49,Good,2017-10-13 ,37.55,-122.03,OZONE,Fremont,CA
72,94579,152,Unhealthy,2017-10-13 ,37.55,-122.03,PM2.5,Fremont,CA
73,94121,31,Good,2017-10-14 ,37.75,-122.43,OZONE,San Francisco,CA
74,94121,69,Moderate,2017-10-14 ,37.75,-122.43,PM2.5,San Francisco,CA
75,95013,67,Moderate,2017-10-15 ,37.33,-121.9,OZONE,San Jose,CA
76,95013,40,Good,2017-10-15 ,37.33,-121.9,PM2.5,San Jose,CA
77,94703,49,Good,2017-10-15 ,37.8,-122.27,OZONE,Oakland,CA
78,94703,53,Moderate,2017-10-15 ,37.8,-122.27,PM2.5,Oakland,CA
79,94557,44,Good,2017-10-10 ,37.55,-122.03,OZONE,Fremont,CA
80,94612,31,Good,2017-10-11 ,37.8,-122.27,OZONE,Oakland,CA
81,94612,124,Unhealthy for Sensitive Groups,2017-10-11 ,37.8,-122.27,PM2.5,Oakland,CA
82,94035,48,Good,2017-10-12 ,37.55,-122.03,OZONE,Fremont,CA
83,94035,154,Unhealthy,2017-10-12 ,37.55,-122.03,PM2.5,Fremont,CA
84,94615,45,Good,2017-10-13 ,37.8,-122.27,OZONE,Oakland,CA
85,94615,159,Unhealthy,2017-10-13 ,37.8,-122.27,PM2.5,Oakland,CA
86,94083,31,Good,2017-10-14 ,37.75,-122.43,OZONE,San Francisco,CA
87,94083,69,Moderate,2017-10-14 ,37.75,-122.43,PM2.5,San Francisco,CA
88,95446,49,Good,2017-10-15 ,38.45,-122.7,OZONE,Santa Rosa,CA
89,95446,67,Moderate,2017-10-15 ,38.45,-122.7,PM2.5,Santa Rosa,CA
90,94114,31,Good,2017-10-15 ,37.75,-122.43,OZONE,San Francisco,CA
91,94114,40,Good,2017-10-15 ,37.75,-122.43,PM2.5,San Francisco,CA
92,94559,48,Good,2017-10-09 ,38.33,-122.28,OZONE,Napa,CA
93,94559,167,Unhealthy,2017-10-09 ,38.33,-122.28,PM2.5,Napa,CA
94,94706,42,Good,2017-10-10 ,37.8,-122.27,OZONE,Oakland,CA
95,94706,116,Unhealthy for Sensitive Groups,2017-10-10 ,37.8,-122.27,PM2.5,Oakland,CA
96,94525,49,Good,2017-10-11 ,37.97,-122.03,OZONE,Concord,CA
97,94525,169,Unhealthy,2017-10-11 ,37.97,-122.03,PM2.5,Concord,CA
98,95696,36,Good,2017-10-13 ,38.3525,-121.9617,OZONE,Vacaville,CA
99,95696,52,Moderate,2017-10-13 ,38.3525,-121.9617,PM2.5,Vacaville,CA
100,95119,43,Good,2017-10-14 ,37.33,-121.9,OZONE,San Jose,CA
101,95119,84,Moderate,2017-10-14 ,37.33,-121.9,PM2.5,San Jose,CA
102,94946,43,Good,2017-10-15 ,37.97,-122.52,OZONE,San Rafael,CA
103,94946,41,Good,2017-10-15 ,37.97,-122.52,PM2.5,San Rafael,CA
104,94541,71,Moderate,2017-10-15 ,37.55,-122.03,OZONE,Fremont,CA
105,94541,40,Good,2017-10-15 ,37.55,-122.03,PM2.5,Fremont,CA
106,94042,40,Good,2017-10-09 ,37.48,-122.22,OZONE,Redwood City,CA
107,94708,42,Good,2017-10-10 ,37.8,-122.27,OZONE,Oakland,CA
108,94708,116,Unhealthy for Sensitive Groups,2017-10-10 ,37.8,-122.27,PM2.5,Oakland,CA
109,94621,31,Good,2017-10-11 ,37.8,-122.27,OZONE,Oakland,CA
110,94621,124,Unhealthy for Sensitive Groups,2017-10-11 ,37.8,-122.27,PM2.5,Oakland,CA
111,94578,40,Good,2017-10-12 ,37.8,-122.27,OZONE,Oakland,CA
112,94578,152,Unhealthy,2017-10-12 ,37.8,-122.27,PM2.5,Oakland,CA
113,95037,61,Moderate,2017-10-13 ,37.33,-121.9,OZONE,San Jose,CA
114,95037,136,Unhealthy for Sensitive Groups,2017-10-13 ,37.33,-121.9,PM2.5,San Jose,CA
115,94920,44,Good,2017-10-14 ,37.97,-122.52,OZONE,San Rafael,CA
116,94920,80,Moderate,2017-10-14 ,37.97,-122.52,PM2.5,San Rafael,CA
117,95421,49,Good,2017-10-15 ,38.45,-122.7,OZONE,Santa Rosa,CA
118,95421,67,Moderate,2017-10-15 ,38.45,-122.7,PM2.5,Santa Rosa,CA
119,95133,67,Moderate,2017-10-15 ,37.33,-121.9,OZONE,San Jose,CA
120,95133,40,Good,2017-10-15 ,37.33,-121.9,PM2.5,San Jose,CA
121,94599,48,Good,2017-10-09 ,38.33,-122.28,OZONE,Napa,CA
122,94599,167,Unhealthy,2017-10-09 ,38.33,-122.28,PM2.5,Napa,CA
123,94019,28,Good,2017-10-10 ,37.75,-122.43,OZONE,San Francisco,CA
124,94019,127,Unhealthy for Sensitive Groups,2017-10-10 ,37.75,-122.43,PM2.5,San Francisco,CA
125,94611,31,Good,2017-10-11 ,37.8,-122.27,OZONE,Oakland,CA
126,94611,124,Unhealthy for Sensitive Groups,2017-10-11 ,37.8,-122.27,PM2.5,Oakland,CA
127,94521,48,Good,2017-10-12 ,37.97,-122.03,OZONE,Concord,CA
128,94521,155,Unhealthy,2017-10-12 ,37.97,-122.03,PM2.5,Concord,CA
129,94563,45,Good,2017-10-13 ,37.8,-122.27,OZONE,Oakland,CA
130,94563,159,Unhealthy,2017-10-13 ,37.8,-122.27,PM2.5,Oakland,CA
131,94123,31,Good,2017-10-14 ,37.75,-122.43,OZONE,San Francisco,CA
132,94123,69,Moderate,2017-10-14 ,37.75,-122.43,PM2.5,San Francisco,CA
133,94551,74,Moderate,2017-10-15 ,37.68,-121.77,OZONE,Livermore,CA
134,94551,40,Good,2017-10-15 ,37.68,-121.77,PM2.5,Livermore,CA
135,94501,49,Good,2017-10-15 ,37.8,-122.27,OZONE,Oakland,CA
136,94501,53,Moderate,2017-10-15 ,37.8,-122.27,PM2.5,Oakland,CA
137,94589,44,Good,2017-10-09 ,38.25,-122.04,OZONE,Fairfield,CA
138,94589,97,Moderate,2017-10-09 ,38.25,-122.04,PM2.5,Fairfield,CA
139,95117,44,Good,2017-10-10 ,37.33,-121.9,OZONE,San Jose,CA
140,95117,57,Moderate,2017-10-10 ,37.33,-121.9,PM2.5,San Jose,CA
141,95131,54,Moderate,2017-10-11 ,37.33,-121.9,OZONE,San Jose,CA
142,95131,114,Unhealthy for Sensitive Groups,2017-10-11 ,37.33,-121.9,PM2.5,San Jose,CA
143,94927,34,Good,2017-10-12 ,38.45,-122.7,OZONE,Santa Rosa,CA
144,94927,67,Moderate,2017-10-12 ,38.45,-122.7,PM2.5,Santa Rosa,CA
145,95404,43,Good,2017-10-13 ,38.45,-122.7,OZONE,Santa Rosa,CA
146,95404,96,Moderate,2017-10-13 ,38.45,-122.7,PM2.5,Santa Rosa,CA
147,95046,43,Good,2017-10-14 ,37.33,-121.9,OZONE,San Jose,CA
148,95046,84,Moderate,2017-10-14 ,37.33,-121.9,PM2.5,San Jose,CA
149,94569,54,Moderate,2017-10-15 ,37.97,-122.03,OZONE,Concord,CA
150,94569,55,Moderate,2017-10-15 ,37.97,-122.03,PM2.5,Concord,CA
151,94576,49,Good,2017-10-15 ,38.45,-122.7,OZONE,Santa Rosa,CA
152,94576,67,Moderate,2017-10-15 ,38.45,-122.7,PM2.5,Santa Rosa,CA
153,94040,40,Good,2017-10-09 ,37.48,-122.22,OZONE,Redwood City,CA
154,94948,61,Moderate,2017-10-10 ,37.97,-122.52,OZONE,San Rafael,CA
155,94948,156,Unhealthy,2017-10-10 ,37.97,-122.52,PM2.5,San Rafael,CA
156,95055,54,Moderate,2017-10-11 ,37.33,-121.9,OZONE,San Jose,CA
157,95055,114,Unhealthy for Sensitive Groups,2017-10-11 ,37.33,-121.9,PM2.5,San Jose,CA
158,94108,27,Good,2017-10-12 ,37.75,-122.43,OZONE,San Francisco,CA
159,94108,136,Unhealthy for Sensitive Groups,2017-10-12 ,37.75,-122.43,PM2.5,San Francisco,CA
160,94129,27,Good,2017-10-13 ,37.75,-122.43,OZONE,San Francisco,CA
161,94129,98,Moderate,2017-10-13 ,37.75,-122.43,PM2.5,San Francisco,CA
162,95151,43,Good,2017-10-14 ,37.33,-121.9,OZONE,San Jose,CA
163,95151,84,Moderate,2017-10-14 ,37.33,-121.9,PM2.5,San Jose,CA
164,94613,49,Good,2017-10-15 ,37.8,-122.27,OZONE,Oakland,CA
165,94613,53,Moderate,2017-10-15 ,37.8,-122.27,PM2.5,Oakland,CA
166,94952,43,Good,2017-10-09 ,37.97,-122.52,OZONE,San Rafael,CA
167,94952,161,Unhealthy,2017-10-09 ,37.97,-122.52,PM2.5,San Rafael,CA
168,94146,28,Good,2017-10-10 ,37.75,-122.43,OZONE,San Francisco,CA
169,94146,127,Unhealthy for Sensitive Groups,2017-10-10 ,37.75,-122.43,PM2.5,San Francisco,CA
170,94015,20,Good,2017-10-11 ,37.75,-122.43,OZONE,San Francisco,CA
171,94015,78,Moderate,2017-10-11 ,37.75,-122.43,PM2.5,San Francisco,CA
172,94974,35,Good,2017-10-12 ,37.97,-122.52,OZONE,San Rafael,CA
173,94974,151,Unhealthy,2017-10-12 ,37.97,-122.52,PM2.5,San Rafael,CA
174,95118,61,Moderate,2017-10-13 ,37.33,-121.9,OZONE,San Jose,CA
175,95118,136,Unhealthy for Sensitive Groups,2017-10-13 ,37.33,-121.9,PM2.5,San Jose,CA
176,94026,38,Good,2017-10-14 ,37.48,-122.22,OZONE,Redwood City,CA
177,94026,78,Moderate,2017-10-14 ,37.48,-122.22,PM2.5,Redwood City,CA
178,95442,49,Good,2017-10-15 ,38.45,-122.7,OZONE,Santa Rosa,CA
179,95442,67,Moderate,2017-10-15 ,38.45,-122.7,PM2.5,Santa Rosa,CA
180,94543,71,Moderate,2017-10-15 ,37.55,-122.03,OZONE,Fremont,CA
181,94543,40,Good,2017-10-15 ,37.55,-122.03,PM2.5,Fremont,CA
182,95132,54,Moderate,2017-10-09 ,37.33,-121.9,OZONE,San Jose,CA
183,95132,47,Good,2017-10-09 ,37.33,-121.9,PM2.5,San Jose,CA
184,94304,35,Good,2017-10-10 ,37.48,-122.22,OZONE,Redwood City,CA
185,94564,31,Good,2017-10-11 ,37.97,-122.52,OZONE,San Rafael,CA
186,94564,87,Moderate,2017-10-11 ,37.97,-122.52,PM2.5,San Rafael,CA
187,94552,40,Good,2017-10-12 ,37.68,-121.77,OZONE,Livermore,CA
188,94552,96,Moderate,2017-10-12 ,37.68,-121.77,PM2.5,Livermore,CA
189,94940,44,Good,2017-10-14 ,37.97,-122.52,OZONE,San Rafael,CA
190,94940,80,Moderate,2017-10-14 ,37.97,-122.52,PM2.5,San Rafael,CA
191,94573,153,Unhealthy,2017-10-15 ,38.33,-122.28,PM2.5,Napa,CA
192,94707,49,Good,2017-10-15 ,37.8,-122.27,OZONE,Oakland,CA
193,94707,53,Moderate,2017-10-15 ,37.8,-122.27,PM2.5,Oakland,CA
194,94922,40,Good,2017-10-09 ,38.45,-122.7,OZONE,Santa Rosa,CA
195,94922,152,Unhealthy,2017-10-09 ,38.45,-122.7,PM2.5,Santa Rosa,CA
196,94606,42,Good,2017-10-10 ,37.8,-122.27,OZONE,Oakland,CA
197,94606,116,Unhealthy for Sensitive Groups,2017-10-10 ,37.8,-122.27,PM2.5,Oakland,CA
198,94925,31,Good,2017-10-11 ,37.97,-122.52,OZONE,San Rafael,CA
199,94925,87,Moderate,2017-10-11 ,37.97,-122.52,PM2.5,San Rafael,CA
200,94560,48,Good,2017-10-12 ,37.55,-122.03,OZONE,Fremont,CA
201,94560,154,Unhealthy,2017-10-12 ,37.55,-122.03,PM2.5,Fremont,CA
202,95148,61,Moderate,2017-10-13 ,37.33,-121.9,OZONE,San Jose,CA
203,95148,136,Unhealthy for Sensitive Groups,2017-10-13 ,37.33,-121.9,PM2.5,San Jose,CA
204,95436,43,Good,2017-10-14 ,38.45,-122.7,OZONE,Santa Rosa,CA
205,95436,64,Moderate,2017-10-14 ,38.45,-122.7,PM2.5,Santa Rosa,CA
206,95052,67,Moderate,2017-10-15 ,37.33,-121.9,OZONE,San Jose,CA
207,95052,40,Good,2017-10-15 ,37.33,-121.9,PM2.5,San Jose,CA
208,94591,44,Good,2017-10-09 ,38.25,-122.04,OZONE,Fairfield,CA
209,94591,97,Moderate,2017-10-09 ,38.25,-122.04,PM2.5,Fairfield,CA
210,94803,42,Good,2017-10-10 ,37.8,-122.27,OZONE,Oakland,CA
211,94803,116,Unhealthy for Sensitive Groups,2017-10-10 ,37.8,-122.27,PM2.5,Oakland,CA
212,95160,54,Moderate,2017-10-11 ,37.33,-121.9,OZONE,San Jose,CA
213,95160,114,Unhealthy for Sensitive Groups,2017-10-11 ,37.33,-121.9,PM2.5,San Jose,CA
214,94502,40,Good,2017-10-12 ,37.8,-122.27,OZONE,Oakland,CA
215,94502,152,Unhealthy,2017-10-12 ,37.8,-122.27,PM2.5,Oakland,CA
216,94966,40,Good,2017-10-13 ,37.97,-122.52,OZONE,San Rafael,CA
217,94966,111,Unhealthy for Sensitive Groups,2017-10-13 ,37.97,-122.52,PM2.5,San Rafael,CA
218,94590,41,Good,2017-10-14 ,38.25,-122.04,OZONE,Fairfield,CA
219,94590,63,Moderate,2017-10-14 ,38.25,-122.04,PM2.5,Fairfield,CA
220,95108,67,Moderate,2017-10-15 ,37.33,-121.9,OZONE,San Jose,CA
221,95108,40,Good,2017-10-15 ,37.33,-121.9,PM2.5,San Jose,CA
222,94545,71,Moderate,2017-10-15 ,37.55,-122.03,OZONE,Fremont,CA
223,94545,40,Good,2017-10-15 ,37.55,-122.03,PM2.5,Fremont,CA
224,94610,41,Good,2017-10-09 ,37.8,-122.27,OZONE,Oakland,CA
225,94610,87,Moderate,2017-10-09 ,37.8,-122.27,PM2.5,Oakland,CA
226,94302,35,Good,2017-10-10 ,37.48,-122.22,OZONE,Redwood City,CA
227,94570,31,Good,2017-10-11 ,37.8,-122.27,OZONE,Oakland,CA
228,94570,124,Unhealthy for Sensitive Groups,2017-10-11 ,37.8,-122.27,PM2.5,Oakland,CA
229,94976,35,Good,2017-10-12 ,37.97,-122.52,OZONE,San Rafael,CA
230,94976,151,Unhealthy,2017-10-12 ,37.97,-122.52,PM2.5,San Rafael,CA
231,94574,43,Good,2017-10-13 ,38.45,-122.7,OZONE,Santa Rosa,CA
232,94574,96,Moderate,2017-10-13 ,38.45,-122.7,PM2.5,Santa Rosa,CA
233,94002,38,Good,2017-10-14 ,37.48,-122.22,OZONE,Redwood City,CA
234,94002,78,Moderate,2017-10-14 ,37.48,-122.22,PM2.5,Redwood City,CA
235,95036,67,Moderate,2017-10-15 ,37.33,-121.9,OZONE,San Jose,CA
236,95036,40,Good,2017-10-15 ,37.33,-121.9,PM2.5,San Jose,CA
237,94556,49,Good,2017-10-15 ,37.8,-122.27,OZONE,Oakland,CA
238,94556,53,Moderate,2017-10-15 ,37.8,-122.27,PM2.5,Oakland,CA
239,94028,40,Good,2017-10-09 ,37.48,-122.22,OZONE,Redwood City,CA
240,94125,28,Good,2017-10-10 ,37.75,-122.43,OZONE,San Francisco,CA
241,94125,127,Unhealthy for Sensitive Groups,2017-10-10 ,37.75,-122.43,PM2.5,San Francisco,CA
242,94109,20,Good,2017-10-11 ,37.75,-122.43,OZONE,San Francisco,CA
243,94109,78,Moderate,2017-10-11 ,37.75,-122.43,PM2.5,San Francisco,CA
244,95407,34,Good,2017-10-12 ,38.45,-122.7,OZONE,Santa Rosa,CA
245,95407,67,Moderate,2017-10-12 ,38.45,-122.7,PM2.5,Santa Rosa,CA
246,94937,40,Good,2017-10-13 ,37.97,-122.52,OZONE,San Rafael,CA
247,94937,111,Unhealthy for Sensitive Groups,2017-10-13 ,37.97,-122.52,PM2.5,San Rafael,CA
248,94550,38,Good,2017-10-14 ,37.68,-121.77,OZONE,Livermore,CA
249,94550,36,Good,2017-10-14 ,37.68,-121.77,PM2.5,Livermore,CA
250,95020,67,Moderate,2017-10-15 ,37.33,-121.9,OZONE,San Jose,CA
251,95020,40,Good,2017-10-15 ,37.33,-121.9,PM2.5,San Jose,CA
252,94598,54,Moderate,2017-10-15 ,37.97,-122.03,OZONE,Concord,CA
253,94598,55,Moderate,2017-10-15 ,37.97,-122.03,PM2.5,Concord,CA
254,94957,43,Good,2017-10-09 ,37.97,-122.52,OZONE,San Rafael,CA
255,94957,161,Unhealthy,2017-10-09 ,37.97,-122.52,PM2.5,San Rafael,CA
256,94023,35,Good,2017-10-10 ,37.48,-122.22,OZONE,Redwood City,CA
257,94539,34,Good,2017-10-11 ,37.55,-122.03,OZONE,Fremont,CA
258,94539,126,Unhealthy for Sensitive Groups,2017-10-11 ,37.55,-122.03,PM2.5,Fremont,CA
259,94565,48,Good,2017-10-12 ,37.97,-122.03,OZONE,Concord,CA
260,94565,155,Unhealthy,2017-10-12 ,37.97,-122.03,PM2.5,Concord,CA
261,95625,36,Good,2017-10-13 ,38.3525,-121.9617,OZONE,Vacaville,CA
262,95625,52,Moderate,2017-10-13 ,38.3525,-121.9617,PM2.5,Vacaville,CA
263,94595,39,Good,2017-10-14 ,37.97,-122.03,OZONE,Concord,CA
264,94595,91,Moderate,2017-10-14 ,37.97,-122.03,PM2.5,Concord,CA
265,94553,54,Moderate,2017-10-15 ,37.97,-122.03,OZONE,Concord,CA
266,94553,55,Moderate,2017-10-15 ,37.97,-122.03,PM2.5,Concord,CA
267,94402,58,Moderate,2017-10-15 ,37.48,-122.22,OZONE,Redwood City,CA
268,94402,40,Good,2017-10-15 ,37.48,-122.22,PM2.5,Redwood City,CA
269,94592,44,Good,2017-10-09 ,38.25,-122.04,OZONE,Fairfield,CA
270,94592,97,Moderate,2017-10-09 ,38.25,-122.04,PM2.5,Fairfield,CA
271,94117,28,Good,2017-10-10 ,37.75,-122.43,OZONE,San Francisco,CA
272,94117,127,Unhealthy for Sensitive Groups,2017-10-10 ,37.75,-122.43,PM2.5,San Francisco,CA
273,94609,31,Good,2017-10-11 ,37.8,-122.27,OZONE,Oakland,CA
274,94609,124,Unhealthy for Sensitive Groups,2017-10-11 ,37.8,-122.27,PM2.5,Oakland,CA
275,95116,67,Moderate,2017-10-12 ,37.33,-121.9,OZONE,San Jose,CA
276,95116,99,Moderate,2017-10-12 ,37.33,-121.9,PM2.5,San Jose,CA
277,94941,40,Good,2017-10-13 ,37.97,-122.52,OZONE,San Rafael,CA
278,94941,111,Unhealthy for Sensitive Groups,2017-10-13 ,37.97,-122.52,PM2.5,San Rafael,CA
279,94133,31,Good,2017-10-14 ,37.75,-122.43,OZONE,San Francisco,CA
280,94133,69,Moderate,2017-10-14 ,37.75,-122.43,PM2.5,San Francisco,CA
281,94585,64,Moderate,2017-10-15 ,38.25,-122.04,OZONE,Fairfield,CA
282,94585,44,Good,2017-10-15 ,38.25,-122.04,PM2.5,Fairfield,CA
283,94977,43,Good,2017-10-15 ,37.97,-122.52,OZONE,San Rafael,CA
284,94977,41,Good,2017-10-15 ,37.97,-122.52,PM2.5,San Rafael,CA
285,94820,43,Good,2017-10-09 ,37.97,-122.52,OZONE,San Rafael,CA
286,94820,161,Unhealthy,2017-10-09 ,37.97,-122.52,PM2.5,San Rafael,CA
287,94572,61,Moderate,2017-10-10 ,37.97,-122.03,OZONE,Concord,CA
288,94572,81,Moderate,2017-10-10 ,37.97,-122.03,PM2.5,Concord,CA
289,94928,39,Good,2017-10-11 ,38.45,-122.7,OZONE,Santa Rosa,CA
290,94928,80,Moderate,2017-10-11 ,38.45,-122.7,PM2.5,Santa Rosa,CA
291,95152,67,Moderate,2017-10-12 ,37.33,-121.9,OZONE,San Jose,CA
292,95152,99,Moderate,2017-10-12 ,37.33,-121.9,PM2.5,San Jose,CA
293,94604,45,Good,2017-10-13 ,37.8,-122.27,OZONE,Oakland,CA
294,94604,159,Unhealthy,2017-10-13 ,37.8,-122.27,PM2.5,Oakland,CA
295,94536,44,Good,2017-10-14 ,37.55,-122.03,OZONE,Fremont,CA
296,94536,78,Moderate,2017-10-14 ,37.55,-122.03,PM2.5,Fremont,CA
297,94112,31,Good,2017-10-15 ,37.75,-122.43,OZONE,San Francisco,CA
298,94112,40,Good,2017-10-15 ,37.75,-122.43,PM2.5,San Francisco,CA
299,95688,42,Good,2017-10-15 ,38.3525,-121.9617,OZONE,Vacaville,CA
300,95688,19,Good,2017-10-15 ,38.3525,-121.9617,PM2.5,Vacaville,CA
301,95112,54,Moderate,2017-10-09 ,37.33,-121.9,OZONE,San Jose,CA
302,95112,47,Good,2017-10-09 ,37.33,-121.9,PM2.5,San Jose,CA
303,95409,58,Moderate,2017-10-10 ,38.45,-122.7,OZONE,Santa Rosa,CA
304,95409,165,Unhealthy,2017-10-10 ,38.45,-122.7,PM2.5,Santa Rosa,CA
305,94505,35,Good,2017-10-11 ,37.9699,-121.3067,OZONE,Stockton,CA
306,94505,116,Unhealthy for Sensitive Groups,2017-10-11 ,37.9699,-121.3067,PM2.5,Stockton,CA
307,95009,67,Moderate,2017-10-12 ,37.33,-121.9,OZONE,San Jose,CA
308,95009,99,Moderate,2017-10-12 ,37.33,-121.9,PM2.5,San Jose,CA
309,94702,45,Good,2017-10-13 ,37.8,-122.27,OZONE,Oakland,CA
310,94702,159,Unhealthy,2017-10-13 ,37.8,-122.27,PM2.5,Oakland,CA
311,95054,43,Good,2017-10-14 ,37.33,-121.9,OZONE,San Jose,CA
